# First calculate cement output as the base-year cement output times the GDP ratio raised to the income elasticity
# Then back out the appropriate income elasticities from cement output
region,energy.final.demand,year,income.elasticity
USA,cement,2100,0.457
Africa_Eastern,cement,2100,0.179
Africa_Northern,cement,2100,0.004
Africa_Southern,cement,2100,0.232
Africa_Western,cement,2100,0.194
Australia_NZ,cement,2100,0.122
Brazil,cement,2100,0.127
Canada,cement,2100,0.225
Central America and Caribbean,cement,2100,0.118
Central Asia,cement,2100,0.14
China,cement,2100,-0.252
EU-12,cement,2100,0.044
EU-15,cement,2100,0.015
Europe_Eastern,cement,2100,0.078
Europe_Non_EU,cement,2100,-0.035
European Free Trade Association,cement,2100,0.056
India,cement,2100,0.083
Indonesia,cement,2100,0.098
Japan,cement,2100,0.025
Mexico,cement,2100,0.112
Middle East,cement,2100,-0.037
Pakistan,cement,2100,0.065
Russia,cement,2100,0.092
South Africa,cement,2100,0.176
South America_Northern,cement,2100,0.12
South America_Southern,cement,2100,0.117
South Asia,cement,2100,0.26
South Korea,cement,2100,-0.156
Southeast Asia,cement,2100,0.057
Taiwan,cement,2100,-0.037
Argentina,cement,2100,0.198
Colombia,cement,2100,0.133
USA,cement,2095,0.469
Africa_Eastern,cement,2095,0.204
Africa_Northern,cement,2095,0.005
Africa_Southern,cement,2095,0.26
Africa_Western,cement,2095,0.217
Australia_NZ,cement,2095,0.131
Brazil,cement,2095,0.139
Canada,cement,2095,0.236
Central America and Caribbean,cement,2095,0.134
Central Asia,cement,2095,0.151
China,cement,2095,-0.252
EU-12,cement,2095,0.048
EU-15,cement,2095,0.016
Europe_Eastern,cement,2095,0.086
Europe_Non_EU,cement,2095,-0.035
European Free Trade Association,cement,2095,0.061
India,cement,2095,0.093
Indonesia,cement,2095,0.108
Japan,cement,2095,0.027
Mexico,cement,2095,0.124
Middle East,cement,2095,-0.037
Pakistan,cement,2095,0.076
Russia,cement,2095,0.098
South Africa,cement,2095,0.188
South America_Northern,cement,2095,0.132
South America_Southern,cement,2095,0.129
South Asia,cement,2095,0.286
South Korea,cement,2095,-0.17
Southeast Asia,cement,2095,0.064
Taiwan,cement,2095,-0.037
Argentina,cement,2095,0.208
Colombia,cement,2095,0.147
USA,cement,2090,0.482
Africa_Eastern,cement,2090,0.233
Africa_Northern,cement,2090,0.006
Africa_Southern,cement,2090,0.292
Africa_Western,cement,2090,0.244
Australia_NZ,cement,2090,0.14
Brazil,cement,2090,0.152
Canada,cement,2090,0.246
Central America and Caribbean,cement,2090,0.152
Central Asia,cement,2090,0.164
China,cement,2090,-0.252
EU-12,cement,2090,0.052
EU-15,cement,2090,0.017
Europe_Eastern,cement,2090,0.094
Europe_Non_EU,cement,2090,-0.035
European Free Trade Association,cement,2090,0.066
India,cement,2090,0.104
Indonesia,cement,2090,0.12
Japan,cement,2090,0.029
Mexico,cement,2090,0.137
Middle East,cement,2090,-0.038
Pakistan,cement,2090,0.089
Russia,cement,2090,0.104
South Africa,cement,2090,0.199
South America_Northern,cement,2090,0.146
South America_Southern,cement,2090,0.143
South Asia,cement,2090,0.314
South Korea,cement,2090,-0.186
Southeast Asia,cement,2090,0.072
Taiwan,cement,2090,-0.037
Argentina,cement,2090,0.219
Colombia,cement,2090,0.163
USA,cement,2085,0.495
Africa_Eastern,cement,2085,0.266
Africa_Northern,cement,2085,0.006
Africa_Southern,cement,2085,0.328
Africa_Western,cement,2085,0.275
Australia_NZ,cement,2085,0.149
Brazil,cement,2085,0.166
Canada,cement,2085,0.257
Central America and Caribbean,cement,2085,0.173
Central Asia,cement,2085,0.179
China,cement,2085,-0.252
EU-12,cement,2085,0.057
EU-15,cement,2085,0.018
Europe_Eastern,cement,2085,0.104
Europe_Non_EU,cement,2085,-0.035
European Free Trade Association,cement,2085,0.07
India,cement,2085,0.118
Indonesia,cement,2085,0.134
Japan,cement,2085,0.032
Mexico,cement,2085,0.152
Middle East,cement,2085,-0.038
Pakistan,cement,2085,0.106
Russia,cement,2085,0.111
South Africa,cement,2085,0.211
South America_Northern,cement,2085,0.161
South America_Southern,cement,2085,0.159
South Asia,cement,2085,0.353
South Korea,cement,2085,-0.205
Southeast Asia,cement,2085,0.081
Taiwan,cement,2085,-0.037
Argentina,cement,2085,0.231
Colombia,cement,2085,0.18
USA,cement,2080,0.508
Africa_Eastern,cement,2080,0.303
Africa_Northern,cement,2080,0.007
Africa_Southern,cement,2080,0.393
Africa_Western,cement,2080,0.309
Australia_NZ,cement,2080,0.158
Brazil,cement,2080,0.181
Canada,cement,2080,0.267
Central America and Caribbean,cement,2080,0.193
Central Asia,cement,2080,0.19
China,cement,2080,-0.252
EU-12,cement,2080,0.062
EU-15,cement,2080,0.02
Europe_Eastern,cement,2080,0.114
Europe_Non_EU,cement,2080,-0.036
European Free Trade Association,cement,2080,0.076
India,cement,2080,0.133
Indonesia,cement,2080,0.15
Japan,cement,2080,0.034
Mexico,cement,2080,0.169
Middle East,cement,2080,-0.038
Pakistan,cement,2080,0.126
Russia,cement,2080,0.118
South Africa,cement,2080,0.224
South America_Northern,cement,2080,0.178
South America_Southern,cement,2080,0.176
South Asia,cement,2080,0.414
South Korea,cement,2080,-0.228
Southeast Asia,cement,2080,0.091
Taiwan,cement,2080,-0.037
Argentina,cement,2080,0.243
Colombia,cement,2080,0.196
USA,cement,2075,0.521
Africa_Eastern,cement,2075,0.353
Africa_Northern,cement,2075,0.008
Africa_Southern,cement,2075,0.475
Africa_Western,cement,2075,0.358
Australia_NZ,cement,2075,0.168
Brazil,cement,2075,0.193
Canada,cement,2075,0.278
Central America and Caribbean,cement,2075,0.212
Central Asia,cement,2075,0.203
China,cement,2075,-0.252
EU-12,cement,2075,0.067
EU-15,cement,2075,0.022
Europe_Eastern,cement,2075,0.127
Europe_Non_EU,cement,2075,-0.036
European Free Trade Association,cement,2075,0.082
India,cement,2075,0.151
Indonesia,cement,2075,0.169
Japan,cement,2075,0.037
Mexico,cement,2075,0.186
Middle East,cement,2075,-0.038
Pakistan,cement,2075,0.151
Russia,cement,2075,0.126
South Africa,cement,2075,0.238
South America_Northern,cement,2075,0.192
South America_Southern,cement,2075,0.192
South Asia,cement,2075,0.483
South Korea,cement,2075,-0.252
Southeast Asia,cement,2075,0.104
Taiwan,cement,2075,-0.037
Argentina,cement,2075,0.256
Colombia,cement,2075,0.212
USA,cement,2070,0.533
Africa_Eastern,cement,2070,0.44
Africa_Northern,cement,2070,0.009
Africa_Southern,cement,2070,0.568
Africa_Western,cement,2070,0.438
Australia_NZ,cement,2070,0.179
Brazil,cement,2070,0.206
Canada,cement,2070,0.289
Central America and Caribbean,cement,2070,0.234
Central Asia,cement,2070,0.216
China,cement,2070,-0.252
EU-12,cement,2070,0.074
EU-15,cement,2070,0.023
Europe_Eastern,cement,2070,0.141
Europe_Non_EU,cement,2070,-0.036
European Free Trade Association,cement,2070,0.088
India,cement,2070,0.173
Indonesia,cement,2070,0.187
Japan,cement,2070,0.04
Mexico,cement,2070,0.201
Middle East,cement,2070,-0.039
Pakistan,cement,2070,0.182
Russia,cement,2070,0.135
South Africa,cement,2070,0.254
South America_Northern,cement,2070,0.207
South America_Southern,cement,2070,0.208
South Asia,cement,2070,0.559
South Korea,cement,2070,-0.252
Southeast Asia,cement,2070,0.119
Taiwan,cement,2070,-0.037
Argentina,cement,2070,0.27
Colombia,cement,2070,0.23
USA,cement,2065,0.547
Africa_Eastern,cement,2065,0.542
Africa_Northern,cement,2065,0.011
Africa_Southern,cement,2065,0.755
Africa_Western,cement,2065,0.531
Australia_NZ,cement,2065,0.188
Brazil,cement,2065,0.219
Canada,cement,2065,0.3
Central America and Caribbean,cement,2065,0.257
Central Asia,cement,2065,0.231
China,cement,2065,-0.252
EU-12,cement,2065,0.082
EU-15,cement,2065,0.025
Europe_Eastern,cement,2065,0.159
Europe_Non_EU,cement,2065,-0.037
European Free Trade Association,cement,2065,0.096
India,cement,2065,0.193
Indonesia,cement,2065,0.205
Japan,cement,2065,0.043
Mexico,cement,2065,0.217
Middle East,cement,2065,-0.039
Pakistan,cement,2065,0.209
Russia,cement,2065,0.146
South Africa,cement,2065,0.27
South America_Northern,cement,2065,0.222
South America_Southern,cement,2065,0.226
South Asia,cement,2065,0.686
South Korea,cement,2065,-0.252
