# First calculate cement output as the base-year cement output times the GDP ratio raised to the income elasticity
# Then back out the appropriate income elasticities from cement output
region,energy.final.demand,year,income.elasticity
USA,cement,2100,0.335
Africa_Eastern,cement,2100,1.107
Africa_Northern,cement,2100,0.005
Africa_Southern,cement,2100,0.932
Africa_Western,cement,2100,1.065
Australia_NZ,cement,2100,0.09
Brazil,cement,2100,0.115
Canada,cement,2100,0.199
Central America and Caribbean,cement,2100,0.298
Central Asia,cement,2100,0.14
China,cement,2100,-0.252
EU-12,cement,2100,0.04
EU-15,cement,2100,0.013
Europe_Eastern,cement,2100,0.069
Europe_Non_EU,cement,2100,-0.035
European Free Trade Association,cement,2100,0.05
India,cement,2100,0.108
Indonesia,cement,2100,0.088
Japan,cement,2100,0.017
Mexico,cement,2100,0.11
Middle East,cement,2100,-0.038
Pakistan,cement,2100,0.34
Russia,cement,2100,0.077
South Africa,cement,2100,0.177
South America_Northern,cement,2100,0.153
South America_Southern,cement,2100,0.141
South Asia,cement,2100,1.106
South Korea,cement,2100,-0.128
Southeast Asia,cement,2100,0.132
Taiwan,cement,2100,-0.037
Argentina,cement,2100,0.218
Colombia,cement,2100,0.146
USA,cement,2095,0.351
Africa_Eastern,cement,2095,1.106
Africa_Northern,cement,2095,0.006
Africa_Southern,cement,2095,1.04
Africa_Western,cement,2095,1.108
Australia_NZ,cement,2095,0.097
Brazil,cement,2095,0.127
Canada,cement,2095,0.21
Central America and Caribbean,cement,2095,0.305
Central Asia,cement,2095,0.15
China,cement,2095,-0.252
EU-12,cement,2095,0.044
EU-15,cement,2095,0.014
Europe_Eastern,cement,2095,0.075
Europe_Non_EU,cement,2095,-0.036
European Free Trade Association,cement,2095,0.054
India,cement,2095,0.119
Indonesia,cement,2095,0.099
Japan,cement,2095,0.018
Mexico,cement,2095,0.121
Middle East,cement,2095,-0.038
Pakistan,cement,2095,0.361
Russia,cement,2095,0.082
South Africa,cement,2095,0.189
South America_Northern,cement,2095,0.166
South America_Southern,cement,2095,0.154
South Asia,cement,2095,1.105
South Korea,cement,2095,-0.141
Southeast Asia,cement,2095,0.138
Taiwan,cement,2095,-0.037
Argentina,cement,2095,0.229
Colombia,cement,2095,0.16
USA,cement,2090,0.369
Africa_Eastern,cement,2090,1.105
Africa_Northern,cement,2090,0.006
Africa_Southern,cement,2090,1.108
Africa_Western,cement,2090,1.107
Australia_NZ,cement,2090,0.104
Brazil,cement,2090,0.14
Canada,cement,2090,0.221
Central America and Caribbean,cement,2090,0.313
Central Asia,cement,2090,0.161
China,cement,2090,-0.252
EU-12,cement,2090,0.047
EU-15,cement,2090,0.015
Europe_Eastern,cement,2090,0.083
Europe_Non_EU,cement,2090,-0.036
European Free Trade Association,cement,2090,0.058
India,cement,2090,0.132
Indonesia,cement,2090,0.111
Japan,cement,2090,0.02
Mexico,cement,2090,0.134
Middle East,cement,2090,-0.038
Pakistan,cement,2090,0.383
Russia,cement,2090,0.088
South Africa,cement,2090,0.2
South America_Northern,cement,2090,0.18
South America_Southern,cement,2090,0.169
South Asia,cement,2090,1.105
South Korea,cement,2090,-0.155
Southeast Asia,cement,2090,0.145
Taiwan,cement,2090,-0.037
Argentina,cement,2090,0.239
Colombia,cement,2090,0.176
USA,cement,2085,0.387
Africa_Eastern,cement,2085,1.104
Africa_Northern,cement,2085,0.007
Africa_Southern,cement,2085,1.107
Africa_Western,cement,2085,1.106
Australia_NZ,cement,2085,0.112
Brazil,cement,2085,0.155
Canada,cement,2085,0.231
Central America and Caribbean,cement,2085,0.322
Central Asia,cement,2085,0.173
China,cement,2085,-0.252
EU-12,cement,2085,0.052
EU-15,cement,2085,0.016
Europe_Eastern,cement,2085,0.092
Europe_Non_EU,cement,2085,-0.036
European Free Trade Association,cement,2085,0.062
India,cement,2085,0.146
Indonesia,cement,2085,0.124
Japan,cement,2085,0.022
Mexico,cement,2085,0.149
Middle East,cement,2085,-0.039
Pakistan,cement,2085,0.405
Russia,cement,2085,0.094
South Africa,cement,2085,0.213
South America_Northern,cement,2085,0.191
South America_Southern,cement,2085,0.184
South Asia,cement,2085,1.104
South Korea,cement,2085,-0.172
Southeast Asia,cement,2085,0.153
Taiwan,cement,2085,-0.037
Argentina,cement,2085,0.25
Colombia,cement,2085,0.19
USA,cement,2080,0.406
Africa_Eastern,cement,2080,1.103
Africa_Northern,cement,2080,0.008
Africa_Southern,cement,2080,1.105
Africa_Western,cement,2080,1.104
Australia_NZ,cement,2080,0.12
Brazil,cement,2080,0.17
Canada,cement,2080,0.242
Central America and Caribbean,cement,2080,0.331
Central Asia,cement,2080,0.184
China,cement,2080,-0.252
EU-12,cement,2080,0.056
EU-15,cement,2080,0.017
Europe_Eastern,cement,2080,0.102
Europe_Non_EU,cement,2080,-0.036
European Free Trade Association,cement,2080,0.067
India,cement,2080,0.162
Indonesia,cement,2080,0.139
Japan,cement,2080,0.024
Mexico,cement,2080,0.164
Middle East,cement,2080,-0.039
Pakistan,cement,2080,0.427
Russia,cement,2080,0.1
South Africa,cement,2080,0.226
South America_Northern,cement,2080,0.202
South America_Southern,cement,2080,0.197
South Asia,cement,2080,1.103
South Korea,cement,2080,-0.191
Southeast Asia,cement,2080,0.162
Taiwan,cement,2080,-0.037
Argentina,cement,2080,0.262
Colombia,cement,2080,0.205
USA,cement,2075,0.424
Africa_Eastern,cement,2075,1.102
Africa_Northern,cement,2075,0.009
Africa_Southern,cement,2075,1.103
Africa_Western,cement,2075,1.103
Australia_NZ,cement,2075,0.129
Brazil,cement,2075,0.185
Canada,cement,2075,0.254
Central America and Caribbean,cement,2075,0.344
Central Asia,cement,2075,0.194
China,cement,2075,-0.252
EU-12,cement,2075,0.061
EU-15,cement,2075,0.019
Europe_Eastern,cement,2075,0.114
Europe_Non_EU,cement,2075,-0.036
European Free Trade Association,cement,2075,0.072
India,cement,2075,0.18
Indonesia,cement,2075,0.156
Japan,cement,2075,0.026
Mexico,cement,2075,0.182
Middle East,cement,2075,-0.039
Pakistan,cement,2075,0.452
Russia,cement,2075,0.107
South Africa,cement,2075,0.24
South America_Northern,cement,2075,0.214
South America_Southern,cement,2075,0.211
South Asia,cement,2075,1.103
South Korea,cement,2075,-0.214
Southeast Asia,cement,2075,0.172
Taiwan,cement,2075,-0.037
Argentina,cement,2075,0.274
Colombia,cement,2075,0.22
USA,cement,2070,0.441
Africa_Eastern,cement,2070,1.101
Africa_Northern,cement,2070,0.01
Africa_Southern,cement,2070,1.102
Africa_Western,cement,2070,1.102
Australia_NZ,cement,2070,0.139
Brazil,cement,2070,0.199
Canada,cement,2070,0.266
Central America and Caribbean,cement,2070,0.363
Central Asia,cement,2070,0.205
China,cement,2070,-0.252
EU-12,cement,2070,0.068
EU-15,cement,2070,0.02
Europe_Eastern,cement,2070,0.128
Europe_Non_EU,cement,2070,-0.037
European Free Trade Association,cement,2070,0.077
India,cement,2070,0.196
Indonesia,cement,2070,0.176
Japan,cement,2070,0.028
Mexico,cement,2070,0.196
Middle East,cement,2070,-0.039
Pakistan,cement,2070,0.479
Russia,cement,2070,0.115
South Africa,cement,2070,0.255
South America_Northern,cement,2070,0.226
South America_Southern,cement,2070,0.226
South Asia,cement,2070,1.102
South Korea,cement,2070,-0.241
Southeast Asia,cement,2070,0.183
Taiwan,cement,2070,-0.037
Argentina,cement,2070,0.286
Colombia,cement,2070,0.237
USA,cement,2065,0.46
Africa_Eastern,cement,2065,1.101
Africa_Northern,cement,2065,0.012
Africa_Southern,cement,2065,1.101
Africa_Western,cement,2065,1.101
Australia_NZ,cement,2065,0.151
Brazil,cement,2065,0.212
Canada,cement,2065,0.278
Central America and Caribbean,cement,2065,0.385
Central Asia,cement,2065,0.218
China,cement,2065,-0.252
EU-12,cement,2065,0.075
EU-15,cement,2065,0.022
Europe_Eastern,cement,2065,0.146
Europe_Non_EU,cement,2065,-0.037
European Free Trade Association,cement,2065,0.084
India,cement,2065,0.213
Indonesia,cement,2065,0.195
Japan,cement,2065,0.031
Mexico,cement,2065,0.212
Middle East,cement,2065,-0.039
Pakistan,cement,2065,0.508
Russia,cement,2065,0.125
South Africa,cement,2065,0.271
South America_Northern,cement,2065,0.239
South America_Southern,cement,2065,0.243
South Asia,cement,2065,1.102
South Korea,cement,2065,-0.252
Southeast Asia,cement,2065,0.193
Taiwan,cement,2065,-0.038
Argentina,cement,2065,0.299
Colombia,cement,2065,0.256
USA,cement,2060,0.48
Africa_Eastern,cement,2060,1.114
Africa_Northern,cement,2060,0.014
Africa_Southern,cement,2060,1.103
Africa_Western,cement,2060,1.1
Australia_NZ,cement,2060,0.163
Brazil,cement,2060,0.227
Canada,cement,2060,0.291
Central America and Caribbean,cement,2060,0.409
Central Asia,cement,2060,0.233
China,cement,2060,-0.252
EU-12,cement,2060,0.083
EU-15,cement,2060,0.024
Europe_Eastern,cement,2060,0.167
Europe_Non_EU,cement,2060,-0.037
European Free Trade Association,cement,2060,0.09
India,cement,2060,0.233
Indonesia,cement,2060,0.215
Japan,cement,2060,0.034
Mexico,cement,2060,0.23
Middle East,cement,2060,-0.04
Pakistan,cement,2060,0.536
Russia,cement,2060,0.136
South Africa,cement,2060,0.289
South America_Northern,cement,2060,0.253
South America_Southern,cement,2060,0.261
South Asia,cement,2060,1.101
South Korea,cement,2060,-0.252
Southeast Asia,cement,2060,0.205
Taiwan,cement,2060,-0.038
Argentina,cement,2060,0.314
Colombia,cement,2060,0.276
USA,cement,2055,0.501
Africa_Eastern,cement,2055,1.127
Africa_Northern,cement,2055,0.016
Africa_Southern,cement,2055,1.119
Africa_Western,cement,2055,1.105
