# First calculate cement output as the base-year cement output times the GDP ratio raised to the income elasticity
# Then back out the appropriate income elasticities from cement output
region,energy.final.demand,year,income.elasticity
USA,cement,2100,0.291
Africa_Eastern,cement,2100,0.056
Africa_Northern,cement,2100,0.002
Africa_Southern,cement,2100,0.093
Africa_Western,cement,2100,0.088
Australia_NZ,cement,2100,0.066
Brazil,cement,2100,0.052
Canada,cement,2100,0.149
Central America and Caribbean,cement,2100,0.045
Central Asia,cement,2100,0.07
China,cement,2100,-0.172
EU-12,cement,2100,0.024
EU-15,cement,2100,0.008
Europe_Eastern,cement,2100,0.038
Europe_Non_EU,cement,2100,-0.033
European Free Trade Association,cement,2100,0.037
India,cement,2100,0.02
Indonesia,cement,2100,0.032
Japan,cement,2100,0.011
Mexico,cement,2100,0.049
Middle East,cement,2100,-0.035
Pakistan,cement,2100,0.022
Russia,cement,2100,0.053
South Africa,cement,2100,0.127
South America_Northern,cement,2100,0.129
South America_Southern,cement,2100,0.057
South Asia,cement,2100,0.098
South Korea,cement,2100,-0.095
Southeast Asia,cement,2100,0.021
Taiwan,cement,2100,-0.036
Argentina,cement,2100,0.121
Colombia,cement,2100,0.054
USA,cement,2095,0.306
Africa_Eastern,cement,2095,0.068
Africa_Northern,cement,2095,0.002
Africa_Southern,cement,2095,0.111
Africa_Western,cement,2095,0.104
Australia_NZ,cement,2095,0.074
Brazil,cement,2095,0.059
Canada,cement,2095,0.164
Central America and Caribbean,cement,2095,0.053
Central Asia,cement,2095,0.078
China,cement,2095,-0.195
EU-12,cement,2095,0.027
EU-15,cement,2095,0.009
Europe_Eastern,cement,2095,0.042
Europe_Non_EU,cement,2095,-0.033
European Free Trade Association,cement,2095,0.041
India,cement,2095,0.023
Indonesia,cement,2095,0.036
Japan,cement,2095,0.013
Mexico,cement,2095,0.056
Middle East,cement,2095,-0.035
Pakistan,cement,2095,0.026
Russia,cement,2095,0.059
South Africa,cement,2095,0.139
South America_Northern,cement,2095,0.145
South America_Southern,cement,2095,0.064
South Asia,cement,2095,0.114
South Korea,cement,2095,-0.109
Southeast Asia,cement,2095,0.024
Taiwan,cement,2095,-0.036
Argentina,cement,2095,0.135
Colombia,cement,2095,0.062
USA,cement,2090,0.322
Africa_Eastern,cement,2090,0.083
Africa_Northern,cement,2090,0.002
Africa_Southern,cement,2090,0.134
Africa_Western,cement,2090,0.125
Australia_NZ,cement,2090,0.082
Brazil,cement,2090,0.068
Canada,cement,2090,0.18
Central America and Caribbean,cement,2090,0.061
Central Asia,cement,2090,0.087
China,cement,2090,-0.221
EU-12,cement,2090,0.031
EU-15,cement,2090,0.01
Europe_Eastern,cement,2090,0.048
Europe_Non_EU,cement,2090,-0.034
European Free Trade Association,cement,2090,0.046
India,cement,2090,0.027
Indonesia,cement,2090,0.041
Japan,cement,2090,0.014
Mexico,cement,2090,0.065
Middle East,cement,2090,-0.036
Pakistan,cement,2090,0.031
Russia,cement,2090,0.065
South Africa,cement,2090,0.153
South America_Northern,cement,2090,0.164
South America_Southern,cement,2090,0.074
South Asia,cement,2090,0.135
South Korea,cement,2090,-0.125
Southeast Asia,cement,2090,0.027
Taiwan,cement,2090,-0.036
Argentina,cement,2090,0.149
Colombia,cement,2090,0.071
USA,cement,2085,0.338
Africa_Eastern,cement,2085,0.103
Africa_Northern,cement,2085,0.003
Africa_Southern,cement,2085,0.162
Africa_Western,cement,2085,0.151
Australia_NZ,cement,2085,0.091
Brazil,cement,2085,0.077
Canada,cement,2085,0.193
Central America and Caribbean,cement,2085,0.072
Central Asia,cement,2085,0.098
China,cement,2085,-0.25
EU-12,cement,2085,0.034
EU-15,cement,2085,0.012
Europe_Eastern,cement,2085,0.054
Europe_Non_EU,cement,2085,-0.034
European Free Trade Association,cement,2085,0.051
India,cement,2085,0.032
Indonesia,cement,2085,0.047
Japan,cement,2085,0.016
Mexico,cement,2085,0.074
Middle East,cement,2085,-0.036
Pakistan,cement,2085,0.037
Russia,cement,2085,0.072
South Africa,cement,2085,0.169
South America_Northern,cement,2085,0.183
South America_Southern,cement,2085,0.084
South Asia,cement,2085,0.159
South Korea,cement,2085,-0.144
Southeast Asia,cement,2085,0.032
Taiwan,cement,2085,-0.036
Argentina,cement,2085,0.166
Colombia,cement,2085,0.081
USA,cement,2080,0.365
Africa_Eastern,cement,2080,0.129
Africa_Northern,cement,2080,0.003
Africa_Southern,cement,2080,0.194
Africa_Western,cement,2080,0.184
Australia_NZ,cement,2080,0.102
Brazil,cement,2080,0.088
Canada,cement,2080,0.206
Central America and Caribbean,cement,2080,0.084
Central Asia,cement,2080,0.11
China,cement,2080,-0.252
EU-12,cement,2080,0.039
EU-15,cement,2080,0.013
Europe_Eastern,cement,2080,0.061
Europe_Non_EU,cement,2080,-0.034
European Free Trade Association,cement,2080,0.057
India,cement,2080,0.037
Indonesia,cement,2080,0.055
Japan,cement,2080,0.018
Mexico,cement,2080,0.085
Middle East,cement,2080,-0.036
Pakistan,cement,2080,0.045
Russia,cement,2080,0.079
South Africa,cement,2080,0.185
South America_Northern,cement,2080,0.2
South America_Southern,cement,2080,0.096
South Asia,cement,2080,0.186
South Korea,cement,2080,-0.167
Southeast Asia,cement,2080,0.037
Taiwan,cement,2080,-0.036
Argentina,cement,2080,0.182
Colombia,cement,2080,0.093
USA,cement,2075,0.393
Africa_Eastern,cement,2075,0.164
Africa_Northern,cement,2075,0.004
Africa_Southern,cement,2075,0.226
Africa_Western,cement,2075,0.214
Australia_NZ,cement,2075,0.113
Brazil,cement,2075,0.101
Canada,cement,2075,0.22
Central America and Caribbean,cement,2075,0.099
Central Asia,cement,2075,0.123
China,cement,2075,-0.252
EU-12,cement,2075,0.044
EU-15,cement,2075,0.015
Europe_Eastern,cement,2075,0.069
Europe_Non_EU,cement,2075,-0.035
European Free Trade Association,cement,2075,0.063
India,cement,2075,0.044
Indonesia,cement,2075,0.063
Japan,cement,2075,0.021
Mexico,cement,2075,0.097
Middle East,cement,2075,-0.037
Pakistan,cement,2075,0.056
Russia,cement,2075,0.087
South Africa,cement,2075,0.199
South America_Northern,cement,2075,0.218
South America_Southern,cement,2075,0.11
South Asia,cement,2075,0.212
South Korea,cement,2075,-0.195
Southeast Asia,cement,2075,0.043
Taiwan,cement,2075,-0.037
Argentina,cement,2075,0.196
Colombia,cement,2075,0.107
USA,cement,2070,0.421
Africa_Eastern,cement,2070,0.202
Africa_Northern,cement,2070,0.005
Africa_Southern,cement,2070,0.266
Africa_Western,cement,2070,0.251
Australia_NZ,cement,2070,0.125
Brazil,cement,2070,0.116
Canada,cement,2070,0.234
Central America and Caribbean,cement,2070,0.118
Central Asia,cement,2070,0.137
